community_id,size,sample_members
1,1180,"['151893', '92684', '239532', '31954', '209089']"
2,750,"['171', '78067', '101433', '261668', '99651']"
3,506,"['14312', '100756', '4991', '162143', '26771']"
4,496,"['147491', '161999', '5670', '5782', '43351']"
5,483,"['165158', '200762', '218308', '216105', '230584']"
6,477,"['162043', '208581', '236236', '84764', '188580']"
7,474,"['2724', '225955', '17424', '52722', '1153']"
8,467,"['156538', '197654', '118090', '189877', '244969']"
9,456,"['201163', '107503', '197105', '253741', '203336']"
10,386,"['24258', '42153', '173879', '23126', '219000']"
